Date,AQHI_Central/Western,AQHI_Eastern,AQHI_Kwun Tong,AQHI_Sham Shui Po,AQHI_Kwai Chung,AQHI_Tsuen Wan,AQHI_Yuen Long,AQHI_Tuen Mun,AQHI_Tung Chung,AQHI_Tai Po,AQHI_Sha Tin,AQHI_Tap Mun,AQHI_Causeway Bay,AQHI_Central,AQHI_Mong Kok,AQHI_Tseung Kwan O,AQHI_Southern,AQHI_North,Cyclone_Present,HUM_CCH,HUM_HKA,HUM_HKO,HUM_JKB,HUM_KP,HUM_KSC,HUM_LFS,HUM_PEN,HUM_SEK,HUM_SHA,HUM_SKG,HUM_SSH,HUM_TC,HUM_TKL,HUM_TMS,HUM_TYW,HUM_YCT,PDIR_BHD,PDIR_CCB,PDIR_CCH,PDIR_CP1,PDIR_GI,PDIR_HKA,PDIR_HKS,PDIR_JKB,PDIR_KP,PDIR_LAM,PDIR_LFS,PDIR_NGP,PDIR_NP,PDIR_PEN,PDIR_PLC,PDIR_SC,PDIR_SE,PDIR_SEK,PDIR_SF,PDIR_SHA,PDIR_SHL,PDIR_SKG,PDIR_TC,PDIR_TKL,PDIR_TME,PDIR_TPK,PDIR_TUN,PDIR_WGL,PDIR_WLP,WSPD_BHD,WSPD_CCB,WSPD_CCH,WSPD_CP1,WSPD_GI,WSPD_HKA,WSPD_HKS,WSPD_JKB,WSPD_KP,WSPD_LAM,WSPD_LFS,WSPD_NGP,WSPD_NP,WSPD_PEN,WSPD_PLC,WSPD_SC,WSPD_SE,WSPD_SEK,WSPD_SF,WSPD_SHA,WSPD_SHL,WSPD_SKG,WSPD_TC,WSPD_TKL,WSPD_TME,WSPD_TPK,WSPD_TUN,WSPD_WGL,WSPD_WLP
2026-05-16 01:00,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,90.0,45.0,90.0,135.0,90.0,90.0,45.0,0.0,90.0,90.0,135.0,90.0,90.0,90.0,225.0,90.0,225.0,270.0,90.0,0.0,225.0,180.0,225.0,135.0,90.0,135.0,135.0,0.0,0.0,18.0,17.0,15.0,10.0,14.0,11.0,4.0,4.0,6.0,8.0,1.0,30.0,10.0,12.0,9.8,12.0,9.8,3.0,9.0,1.0,9.8,3.0,9.8,4.0,21.0,11.0,5.0,0.0,0.0
2026-05-16 03:00,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,90.0,90.0,90.0,90.0,90.0,90.0,45.0,135.0,90.0,90.0,90.0,90.0,90.0,90.0,225.0,135.0,225.0,90.0,90.0,90.0,225.0,90.0,225.0,135.0,90.0,90.0,0.0,0.0,90.0,40.0,27.0,27.0,16.0,24.0,11.0,10.0,10.0,17.0,19.0,6.0,45.0,19.0,26.0,17.4,12.0,17.4,8.0,12.0,3.0,17.4,19.0,17.4,14.0,30.0,24.0,1.0,0.0,1.0
2026-05-16 04:00,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,90.0,90.0,90.0,135.0,90.0,90.0,90.0,135.0,90.0,90.0,90.0,90.0,90.0,90.0,225.0,90.0,225.0,90.0,90.0,0.0,225.0,90.0,225.0,90.0,90.0,90.0,0.0,0.0,90.0,50.0,35.0,35.0,20.0,29.0,21.0,14.0,6.0,20.0,23.0,12.0,54.0,25.0,34.0,22.1,23.0,22.1,18.0,24.0,5.0,22.1,26.0,22.1,9.0,35.0,25.0,3.0,0.0,5.0
2026-05-16 05:00,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,90.0,90.0,90.0,135.0,90.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,225.0,90.0,225.0,90.0,90.0,90.0,225.0,90.0,225.0,90.0,90.0,90.0,135.0,0.0,90.0,46.0,41.0,38.0,21.0,34.0,24.0,10.0,7.0,21.0,27.0,11.0,52.0,27.0,42.0,23.8,28.0,23.8,24.0,23.0,3.0,23.8,25.0,23.8,14.0,34.0,35.0,11.0,0.0,6.0
2026-05-16 06:00,3,4,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,90.0,90.0,90.0,135.0,90.0,90.0,90.0,180.0,90.0,90.0,90.0,90.0,90.0,90.0,225.0,90.0,225.0,90.0,90.0,90.0,225.0,90.0,225.0,90.0,90.0,90.0,90.0,0.0,90.0,52.0,40.0,36.0,17.0,34.0,24.0,14.0,9.0,21.0,20.0,20.0,54.0,26.0,36.0,23.6,24.0,23.6,22.0,18.0,6.0,23.6,30.0,23.6,16.0,36.0,30.0,10.0,0.0,7.0
2026-05-16 07:00,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,225.0,0.0,225.0,90.0,90.0,90.0,225.0,45.0,225.0,90.0,90.0,90.0,90.0,0.0,90.0,53.0,40.0,48.0,32.0,44.0,27.0,18.0,9.0,23.0,23.0,24.0,54.0,30.0,47.0,26.6,19.0,26.6,25.0,21.0,8.0,26.6,32.0,26.6,14.0,41.0,33.0,9.0,0.0,6.0
2026-05-16 09:00,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,225.0,90.0,225.0,90.0,90.0,90.0,225.0,45.0,225.0,90.0,90.0,90.0,90.0,0.0,90.0,54.0,43.0,46.0,24.0,47.0,30.0,16.0,13.0,18.0,29.0,28.0,58.0,28.0,48.0,27.6,25.0,27.6,35.0,23.0,6.0,27.6,32.0,27.6,16.0,34.0,36.0,12.0,0.0,10.0
2026-05-16 13:00,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,90.0,45.0,90.0,90.0,90.0,90.0,90.0,45.0,90.0,90.0,90.0,90.0,90.0,90.0,225.0,135.0,225.0,90.0,90.0,90.0,225.0,45.0,225.0,135.0,90.0,90.0,135.0,0.0,90.0,51.0,42.0,39.0,26.0,60.0,39.0,18.0,8.0,17.0,35.0,33.0,40.0,22.0,40.0,24.9,27.0,24.9,19.0,17.0,5.0,24.9,33.0,24.9,15.0,22.0,24.0,10.0,0.0,8.0
2026-05-16 15:00,4,4,4,4,4,3,3,4,3,4,4,3,4,3,4,4,4,3,0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,90.0,90.0,90.0,135.0,90.0,90.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,225.0,90.0,225.0,90.0,90.0,90.0,225.0,90.0,225.0,135.0,90.0,90.0,135.0,0.0,90.0,51.0,49.0,42.0,23.0,41.0,30.0,12.0,14.0,19.0,27.0,24.0,60.0,27.0,40.0,26.1,24.0,26.1,30.0,24.0,5.0,26.1,28.0,26.1,10.0,44.0,34.0,17.0,0.0,5.0
2026-05-16 17:00,4,4,4,4,4,4,3,4,3,4,4,3,4,3,4,4,4,3,0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,135.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,225.0,90.0,225.0,90.0,90.0,135.0,225.0,90.0,225.0,90.0,90.0,90.0,135.0,0.0,90.0,60.0,50.0,46.0,26.0,48.0,26.0,15.0,12.0,18.0,28.0,28.0,51.0,25.0,44.0,27.1,27.0,27.1,25.0,19.0,3.0,27.1,33.0,27.1,12.0,38.0,32.0,11.0,0.0,9.0
